codigo_uf;uf;regiao;ano;nascimentos;obitos
11;RO;Norte;2005;28081;15
11;RO;Norte;2006;24925;15
11;RO;Norte;2007;22996;10
11;RO;Norte;2008;26791;12
11;RO;Norte;2009;26083;17
11;RO;Norte;2010;25835;16
11;RO;Norte;2011;27658;15
11;RO;Norte;2012;26513;17
11;RO;Norte;2013;27097;18
11;RO;Norte;2014;27560;22
11;RO;Norte;2015;27918;14
11;RO;Norte;2016;26602;15
11;RO;Norte;2017;27503;19
11;RO;Norte;2018;28091;10
11;RO;Norte;2019;27028;13
12;AC;Norte;2005;17482;8
12;AC;Norte;2006;16448;5
12;AC;Norte;2007;16183;8
12;AC;Norte;2008;17994;6
12;AC;Norte;2009;16892;7
12;AC;Norte;2010;16495;6
12;AC;Norte;2011;17817;6
12;AC;Norte;2012;16700;9
12;AC;Norte;2013;17075;10
12;AC;Norte;2014;17139;8
12;AC;Norte;2015;16980;10
12;AC;Norte;2016;15773;9
12;AC;Norte;2017;16358;8
12;AC;Norte;2018;16543;9
12;AC;Norte;2019;16280;8
13;AM;Norte;2005;73488;39
13;AM;Norte;2006;75584;48
13;AM;Norte;2007;73469;56
13;AM;Norte;2008;75030;41
13;AM;Norte;2009;75729;67
13;AM;Norte;2010;74188;70
13;AM;Norte;2011;76202;52
13;AM;Norte;2012;77434;50
13;AM;Norte;2013;79041;50
13;AM;Norte;2014;81145;78
13;AM;Norte;2015;80097;52
13;AM;Norte;2016;76703;55
13;AM;Norte;2017;78066;50
13;AM;Norte;2018;78087;71
13;AM;Norte;2019;77622;60
14;RR;Norte;2005;9694;5
14;RR;Norte;2006;9592;9
14;RR;Norte;2007;9582;12
14;RR;Norte;2008;10103;9
14;RR;Norte;2009;9673;10
14;RR;Norte;2010;9738;1
14;RR;Norte;2011;9945;6
14;RR;Norte;2012;10601;4
14;RR;Norte;2013;10814;6
14;RR;Norte;2014;11120;5
14;RR;Norte;2015;11412;11
14;RR;Norte;2016;11376;6
14;RR;Norte;2017;11737;6
14;RR;Norte;2018;13344;10
14;RR;Norte;2019;14620;11
15;PA;Norte;2005;145540;86
15;PA;Norte;2006;150202;88
15;PA;Norte;2007;150147;90
15;PA;Norte;2008;151262;90
15;PA;Norte;2009;143140;82
15;PA;Norte;2010;140687;78
15;PA;Norte;2011;141974;85
15;PA;Norte;2012;137837;94
15;PA;Norte;2013;139416;120
15;PA;Norte;2014;143503;117
15;PA;Norte;2015;143657;95
15;PA;Norte;2016;137681;103
15;PA;Norte;2017;138684;129
15;PA;Norte;2018;141819;108
15;PA;Norte;2019;138341;121
16;AP;Norte;2005;14205;9
16;AP;Norte;2006;14714;9
16;AP;Norte;2007;14425;8
16;AP;Norte;2008;15105;8
16;AP;Norte;2009;14298;4
16;AP;Norte;2010;15008;3
16;AP;Norte;2011;15114;6
16;AP;Norte;2012;14895;6
16;AP;Norte;2013;15710;14
16;AP;Norte;2014;16271;8
16;AP;Norte;2015;15750;13
16;AP;Norte;2016;15521;17
16;AP;Norte;2017;15399;7
16;AP;Norte;2018;15864;14
16;AP;Norte;2019;15356;5
17;TO;Norte;2005;26368;19
17;TO;Norte;2006;26028;13
17;TO;Norte;2007;25011;18
17;TO;Norte;2008;25713;22
17;TO;Norte;2009;24911;22
17;TO;Norte;2010;24471;18
17;TO;Norte;2011;25035;26
17;TO;Norte;2012;24395;13
17;TO;Norte;2013;24119;14
17;TO;Norte;2014;24944;15
17;TO;Norte;2015;25110;19
17;TO;Norte;2016;23870;18
17;TO;Norte;2017;24935;21
17;TO;Norte;2018;25480;8
17;TO;Norte;2019;24449;15
21;MA;Nordeste;2005;130266;119
21;MA;Nordeste;2006;127724;107
21;MA;Nordeste;2007;127307;124
21;MA;Nordeste;2008;128302;121
21;MA;Nordeste;2009;123635;104
21;MA;Nordeste;2010;119566;123
21;MA;Nordeste;2011;121109;105
21;MA;Nordeste;2012;116039;84
21;MA;Nordeste;2013;115000;111
21;MA;Nordeste;2014;117071;93
21;MA;Nordeste;2015;117564;117
21;MA;Nordeste;2016;110493;110
21;MA;Nordeste;2017;112985;97
21;MA;Nordeste;2018;117156;92
21;MA;Nordeste;2019;113317;85
22;PI;Nordeste;2005;56866;56
22;PI;Nordeste;2006;55342;45
22;PI;Nordeste;2007;53214;39
22;PI;Nordeste;2008;52664;62
22;PI;Nordeste;2009;50996;44
22;PI;Nordeste;2010;49424;47
22;PI;Nordeste;2011;50144;45
22;PI;Nordeste;2012;47962;48
22;PI;Nordeste;2013;46419;44
22;PI;Nordeste;2014;47941;33
22;PI;Nordeste;2015;49253;41
22;PI;Nordeste;2016;46986;38
22;PI;Nordeste;2017;48551;35
22;PI;Nordeste;2018;49490;42
22;PI;Nordeste;2019;47933;41
23;CE;Nordeste;2005;140035;115
23;CE;Nordeste;2006;135020;91
23;CE;Nordeste;2007;133839;84
23;CE;Nordeste;2008;133917;67
23;CE;Nordeste;2009;131393;87
23;CE;Nordeste;2010;128831;91
23;CE;Nordeste;2011;128592;88
23;CE;Nordeste;2012;126868;88
23;CE;Nordeste;2013;124876;93
23;CE;Nordeste;2014;128681;84
23;CE;Nordeste;2015;132516;65
23;CE;Nordeste;2016;126246;74
23;CE;Nordeste;2017;127797;84
23;CE;Nordeste;2018;131491;90
23;CE;Nordeste;2019;129185;75
24;RN;Nordeste;2005;52330;28
24;RN;Nordeste;2006;48122;12
24;RN;Nordeste;2007;48072;14
24;RN;Nordeste;2008;49817;22
24;RN;Nordeste;2009;48931;25
24;RN;Nordeste;2010;47668;16
24;RN;Nordeste;2011;48101;33
24;RN;Nordeste;2012;46993;31
24;RN;Nordeste;2013;46798;22
24;RN;Nordeste;2014;48111;36
24;RN;Nordeste;2015;49099;30
24;RN;Nordeste;2016;45366;31
24;RN;Nordeste;2017;46222;35
24;RN;Nordeste;2018;48107;25
24;RN;Nordeste;2019;44031;31
25;PB;Nordeste;2005;64294;17
25;PB;Nordeste;2006;60232;19
25;PB;Nordeste;2007;59456;20
25;PB;Nordeste;2008;61964;26
25;PB;Nordeste;2009;60021;33
25;PB;Nordeste;2010;58699;29
25;PB;Nordeste;2011;58741;31
25;PB;Nordeste;2012;56770;27
25;PB;Nordeste;2013;56854;40
25;PB;Nordeste;2014;57535;31
25;PB;Nordeste;2015;59089;38
25;PB;Nordeste;2016;56083;49
25;PB;Nordeste;2017;57493;36
25;PB;Nordeste;2018;60205;32
25;PB;Nordeste;2019;57701;36
26;PE;Nordeste;2005;152095;70
26;PE;Nordeste;2006;146108;90
26;PE;Nordeste;2007;143095;94
26;PE;Nordeste;2008;145195;97
26;PE;Nordeste;2009;141815;88
26;PE;Nordeste;2010;136591;76
26;PE;Nordeste;2011;140079;79
26;PE;Nordeste;2012;141382;73
26;PE;Nordeste;2013;141453;91
26;PE;Nordeste;2014;143489;91
26;PE;Nordeste;2015;145024;98
26;PE;Nordeste;2016;130733;71
26;PE;Nordeste;2017;135932;84
26;PE;Nordeste;2018;138317;80
26;PE;Nordeste;2019;133359;64
27;AL;Nordeste;2005;60662;32
27;AL;Nordeste;2006;57510;28
27;AL;Nordeste;2007;57406;25
27;AL;Nordeste;2008;58076;27
27;AL;Nordeste;2009;55471;19
27;AL;Nordeste;2010;54164;32
27;AL;Nordeste;2011;54281;28
27;AL;Nordeste;2012;52510;24
27;AL;Nordeste;2013;52488;31
27;AL;Nordeste;2014;51859;54
27;AL;Nordeste;2015;52257;30
27;AL;Nordeste;2016;48164;25
27;AL;Nordeste;2017;50368;16
27;AL;Nordeste;2018;52496;26
27;AL;Nordeste;2019;49803;29
28;SE;Nordeste;2005;37370;19
28;SE;Nordeste;2006;37061;14
28;SE;Nordeste;2007;35801;13
28;SE;Nordeste;2008;36633;24
28;SE;Nordeste;2009;35109;36
28;SE;Nordeste;2010;34016;23
28;SE;Nordeste;2011;34925;29
28;SE;Nordeste;2012;34108;24
28;SE;Nordeste;2013;34228;23
28;SE;Nordeste;2014;34369;23
28;SE;Nordeste;2015;34917;18
28;SE;Nordeste;2016;32218;18
28;SE;Nordeste;2017;33867;17
28;SE;Nordeste;2018;34256;20
28;SE;Nordeste;2019;32697;12
29;BA;Nordeste;2005;231065;164
29;BA;Nordeste;2006;220187;158
29;BA;Nordeste;2007;220398;146
29;BA;Nordeste;2008;221700;172
29;BA;Nordeste;2009;217727;195
29;BA;Nordeste;2010;212201;161
29;BA;Nordeste;2011;215032;149
29;BA;Nordeste;2012;209999;147
29;BA;Nordeste;2013;203342;162
29;BA;Nordeste;2014;204034;149
29;BA;Nordeste;2015;206655;143
29;BA;Nordeste;2016;199830;122
29;BA;Nordeste;2017;204096;134
29;BA;Nordeste;2018;205332;118
29;BA;Nordeste;2019;197249;105
31;MG;Sudeste;2005;277468;89
31;MG;Sudeste;2006;266143;87
31;MG;Sudeste;2007;259505;95
31;MG;Sudeste;2008;260916;104
31;MG;Sudeste;2009;252676;109
31;MG;Sudeste;2010;255126;119
31;MG;Sudeste;2011;259863;95
31;MG;Sudeste;2012;260544;88
31;MG;Sudeste;2013;258635;123
31;MG;Sudeste;2014;267130;131
31;MG;Sudeste;2015;268305;125
31;MG;Sudeste;2016;253520;119
31;MG;Sudeste;2017;260959;118
31;MG;Sudeste;2018;263640;135
31;MG;Sudeste;2019;256892;115
32;ES;Sudeste;2005;52399;28
32;ES;Sudeste;2006;51449;33
32;ES;Sudeste;2007;51020;21
32;ES;Sudeste;2008;51852;28
32;ES;Sudeste;2009;51457;44
32;ES;Sudeste;2010;51853;34
32;ES;Sudeste;2011;53053;32
32;ES;Sudeste;2012;52835;34
32;ES;Sudeste;2013;54065;26
32;ES;Sudeste;2014;56548;50
32;ES;Sudeste;2015;56941;36
32;ES;Sudeste;2016;53413;21
32;ES;Sudeste;2017;55846;33
32;ES;Sudeste;2018;56721;32
32;ES;Sudeste;2019;54925;29
